LineNo,TokenNo,CTS-URN,Sentence-URN,Sentence-Seq,Token-URN,Token-Seq,Head-Token-URN,Surface-Form,Lemma,POS1-PoS,POS2-Person,POS3-Number,POS4-Tense,POS5-Mood,POS6-Voice,POS7-Gender,POS8-Case,POS9-Degree,Head-Token-Lemma,Relation,Who-Said-It
1,1,urn:cts:greekLit:tlg0011.tlg004.fu04:1.1,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_1,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_2,ὦ,ὦ1,urn:cite2:fuSyntax:pos.v1:exclamation,null,null,null,null,null,null,null,null,τέκνον1,AuxZ,Οἰδίπους
1,2,urn:cts:greekLit:tlg0011.tlg004.fu04:1.2,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_2,2,urn:cite2:fuSyntax:0011004tokens.v1:2386546_3,τέκνα,τέκνον1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:vocative,null,comma1,ExD_AP,Οἰδίπους
1,3,urn:cts:greekLit:tlg0011.tlg004.fu04:1.3,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_3,3,urn:cite2:fuSyntax:0011004tokens.v1:2386546_15,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,θοάζω1,APOS,Οἰδίπους
1,4,urn:cts:greekLit:tlg0011.tlg004.fu04:1.4,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_4,4,urn:cite2:fuSyntax:0011004tokens.v1:2386546_8,Κάδμου,Κάδμος1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,τροφή1,ATR,Οἰδίπους
1,5,urn:cts:greekLit:tlg0011.tlg004.fu04:1.5,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_5,5,urn:cite2:fuSyntax:0011004tokens.v1:2386546_4,τοῦ,ὁ1,urn:cite2:fuSyntax:pos.v1:article,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:genitive,null,Κάδμος1,ATR,Οἰδίπους
1,6,urn:cts:greekLit:tlg0011.tlg004.fu04:1.6,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_6,6,urn:cite2:fuSyntax:0011004tokens.v1:2386546_4,πάλαι,πάλαι1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,Κάδμος1,ATR,Οἰδίπους
1,7,urn:cts:greekLit:tlg0011.tlg004.fu04:1.7,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_7,7,urn:cite2:fuSyntax:0011004tokens.v1:2386546_8,νέα,νέος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:vocative,null,τροφή1,ATR,Οἰδίπους
1,8,urn:cts:greekLit:tlg0011.tlg004.fu04:1.8,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_8,8,urn:cite2:fuSyntax:0011004tokens.v1:2386546_3,τροφή,τροφή1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:vocative,null,comma1,ExD_AP,Οἰδίπους
1,9,urn:cts:greekLit:tlg0011.tlg004.fu04:1.9,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_9,9,urn:cite2:fuSyntax:0011004tokens.v1:2386546_3,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,comma1,AuxX,Οἰδίπους
2,1,urn:cts:greekLit:tlg0011.tlg004.fu04:2.1,urn:cite2:fuSyntax:0011004sentences.v1:2386546,1,urn:cite2:fuSyntax:0011004tokens.v1:2386546_10,10,urn:cite2:fuSyntax:0011004tokens.v1:2386546_12,τίνας,τις1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,ἕδρα1,ATR,Οἰδίπους
